┼进制	十进制
旁通曲暢	旁通曲畅
旁文賸义	旁文剩义
旁徵博引	旁征博引
旁证博引	旁征博引
抛地有声	掷地有声
炰鳖脍鲤	炮鳖脍鲤
炰凤烹龙	炮凤烹龙
跑哮	咆哮
跑帐	跑账
泡制	炮制
砲凤烹龙	炮凤烹龙
砲龙烹凤	炮龙烹凤
陪不是	赔不是
陪小心	赔小心
陪笑脸	赔笑脸
培养人材	培养人才
赔帐	赔账
佩服之致	佩服之至
配衬	陪衬
喷腾	奔腾
抨然心动	怦然心动
烹龙炰凤	烹龙炮凤
烹龙砲凤	烹龙炮凤
彭湖县	澎湖县
蓬荜生辉	蓬筚生辉
蓬壁生辉	蓬筚生辉
蓬壁增辉	蓬筚生辉
蓬户甕牖	蓬户瓮牖
蓬涞	蓬莱
蓬门荜户	蓬门筚户
蓬生麻中不扶自直	蓬生麻中，不扶自直
篷荜	蓬荜
篷荜生辉	蓬荜生辉
篷荜增辉	蓬筚生辉
篷门荜户	蓬门荜户
篷门弊户	蓬门荜户
篷篷勃勃	蓬蓬勃勃
篷头垢面	蓬头垢面
膨涨	膨胀
批漏	纰漏
批漏百出	纰漏百出
批沙拣金	披沙拣金
批郄导窾	批隙导窾
批郤导窾	批隙导窾
批隙导竅	批隙导窍
披肝历胆	披肝沥胆
披肝呖胆	披肝沥胆
披麻带孝	披麻戴孝
披糜	披靡
披洒	泼洒
披星带月	披星戴月
披庥带孝	披麻戴孝
劈里啪啦	噼里啪啦
劈哩啪啦	噼里啪啦
劈啪	噼啪
劈拍声	劈啪声
劈劈叭叭	劈劈啪啪
劈帐	劈账
劈帐分红	劈账分红
皮簧	皮黄
皮开肉锭	皮开肉绽
皮茄克	皮夹克
皮之不存毛将焉附	皮之不存，毛将焉附
芘苤	芘芣
疲塌	疲沓
疲於奔命	疲于奔命
疲於供命	疲于供命
蚍蜉憾树	蚍蜉撼树
匹马单鎗	匹马单枪
偏辟	偏僻
偏宜	偏移
翩翩起午	翩翩起舞
骈四骊六	骈四俪六
漂零	飘零
漂零蓬断	飘零蓬断
漂渺	缥缈
漂蓬断梗	飘蓬断梗
漂帐	漂账
缥渺	缥缈
飘泊	漂泊
飘泊不定	漂泊不定
飘泊生活	漂泊生活
飘泊他乡	漂泊他乡
飘泊无定	漂泊无定
飘泊异乡	漂泊异乡
飘流	漂流
飘眇	缥缈
飘渺	缥缈
飘邈	缥缈
飘飏	飘扬
飘洋过海	漂洋过海
飘颺	飘扬
飘飖	飘摇
飘颻	飘摇
慓悍	剽悍
拼拼凑揍	拼拼凑凑
拼拼揍揍	拼拼凑凑
拼揍	拼凑
贫脊	贫瘠
频临	濒临
频临绝迹	濒临绝迹
频临破灭	濒临破灭
品不高	品格不高
品苟	品茗
品学兼忧	品学兼优
平白无辜	平白无故
平臣	平卧
平话	评话
平剧	评剧
平空	凭空
平铺直序	平铺直叙
平时不烧	平时不烧香
平时不烧香急来抱佛脚	平时不烧香，急来抱佛脚
平形四边	平行四边
评击	抨击
凭白无故	平白无故
凭单日记帐	凭单日记账
凭藉	凭借
凭空想象	凭空想像
凭甚么	凭什么
凭什麽	凭什么
凭添	平添
苹水相逢	萍水相逢
屏除	摒除
屏弃	摒弃
瓶沈簪折	瓶沉簪折
萍踪狭影	萍踪侠影
泼刺刺	泼剌剌
泼浪鼓	拨浪鼓
酦酵	发酵
醱酵	发酵
迫不急待	迫不及待
迫於眉睫	迫于眉睫
破巢馀卵	破巢余卵
破斧沉舟	破釜沉舟
破釜沈舟	破釜沉舟
破觚为圜	破觚为圆
破镜重园	破镜重圆
破旧家俱	破旧家具
破矩为圜	破矩为圆
破玩意兒	破玩意儿
剖示图	剖视图
扑风捉影	捕风捉影
扑朔谜离	扑朔迷离
扑素	朴素
扑塑	扑朔
扑塑迷离	扑朔迷离
扑溯迷离	扑朔迷离
扑天盖地	铺天盖地
扑嗵一声	扑通一声
铺青迭翠	铺青叠翠
噗通一声	扑通一声
匍伏	匍匐
璞玉诨金	璞玉浑金
朴素而雅	朴素典雅
普洱哈呢族彝族自治县	普洱哈尼族彝族自治县
普林斯敦大学	普林斯顿大学
曝露出	暴露出
七尺之驱	七尺之躯
七咀八舌	七嘴八舌
七年之病求三年之艾	七年之病，求三年之艾
七纵七禽	七纵七擒
妻兒老少	妻儿老少
妻兒老小	妻儿老小
妻离于散	妻离子散
恓恓遑遑	恓恓惶惶
栖栖遑遑	栖栖惶惶
期未余额	期末余额
欺悔羞辱	欺侮羞辱
欺瞒夹帐	欺瞒夹账
嘁哩喀嚓	嘁哩喀喳
嘁嘁嚓嚓	嘁嘁喳喳
齐心併力	齐心并力
齐帐	齐账
岐出岐入	歧出歧入
岐路	歧路
岐路亡羊	歧路亡羊
岐山县	歧山县
岐视	歧视
其实难付	其实难副
其势凶凶	其势汹汹
其它窗口	其他窗口
奇耻大库	奇耻大辱
奇情异采	奇情异彩
歧岖	崎岖
祈连山	祁连山
骑墙份子	骑墙分子
棋高一着缚手缚脚	棋高一着，缚手缚脚
棋输先著	棋输先着
企待	期待
启瞶振聋	启聩振聋
启锚	起锚
启盟教育	启蒙教育
杞宋无徵	杞宋无征
起博器	起搏器
起程	启程
起迄	起讫
起讼	起诉
起造摸黑	起早摸黑
起绉	起皱
绮襦纨袴	绮襦纨绔
气冲宵汉	气冲霄汉
气喘嘘嘘	气喘吁吁
气喘吁嘘	气喘吁吁
气侯	气候
气侯变化	气候变化
气侯宜人	气候宜人
气侯异常	气候异常
气乎乎	气呼呼
气乎乎的	气呼呼的
气极败坏	气急败坏
气慨	气概
气门心	气门芯
气势气磅礴	气势磅礴
气势凶凶	气势汹汹
气吞虹蜺	气吞虹霓
气像万千	气象万千
气像卫星	气象卫星
气像学家	气象学家
弃其馀鱼	弃其余鱼
汽轮机	气轮机
恰如其份	恰如其分
恰谈	洽谈
洽如	恰如
洽如其分	恰如其分
千部一腔千人一面	千部一腔，千人一面
千锤百链	千锤百炼
千钓一发	千钧一发
千骄百媚	千娇百媚
千金一壸	千金一壶
千里不同风百里不同俗	千里不同风，百里不同俗
千里餽粮，士有饥色	千里馈粮，士有饥色
千里莺啼绿映红水村山郭酒旗风	千里莺啼绿映红，水村山郭酒旗风
千里之隄，溃于蚁穴	千里之堤，溃于蚁穴
千里之堤毁于一旦	千里之堤，毁于一旦
千里之堤毁于蚁穴	千里之堤，毁于蚁穴
千里之堤溃于蚁穴	千里之堤，溃于蚁穴
千里之行，始於足下	千里之行，始于足下
千里之行始于脚下	千里之行，始于脚下
千里之行始于足下	千里之行，始于足下
千秋万事	千秋万世
千丝万褛	千丝万缕
千头万序	千头万绪
迁回曲折	迂回曲折
迁徒	迁徙
汧阳	千阳
牵合傅会	牵合附会
牵就	迁就
牵联	牵连
牵强符会	牵强附会
签定	签订
签字盖戮	签字盖戳
前跋後疐	前跋后疐
前不巴村后不巴店	前不巴村，后不巴店
前不见古人后不见来者	前不见古人，后不见来者
前赴後继	前赴后继
前歌後舞	前歌后舞
前呼後拥	前呼后拥
前街後巷	前街后巷
前襟後裾	前襟后裾
前鞠后恭	前倨后恭
前鞠后躬	前倨后恭
前倨後恭	前倨后恭
前踞后恭	前倨后恭
前门拒虎后门进狼	前门拒虎，后门进狼
前仆後踣	前仆后踣
前仆後继	前仆后继
前扑后继	前仆后继
前扑后起	前仆后起
前人失脚后人把滑	前人失脚，后人把滑
前人栽树后人乘凉	前人栽树，后人乘凉
前世不忘，后世之师	前事不忘，后事之师
前世不忘后世之师	前世不忘，后世之师
前事不忘后事之师	前事不忘，后事之师
前思後想	前思后想
前途无亮	前途无量
前危後则	前危后则
前些时侯	前些时候
前仰後合	前仰后合
前意识	潜意识
前因後果	前因后果
前於	前于
前瞻後顾	前瞻后顾
虔南	全南
钱而不舍	锲而不舍
乾巴巴	干巴巴
乾巴巴的	干巴巴的
乾巴利脆	干巴利脆
乾巴利落	干巴利落
乾爸爸	干爸爸
乾杯祝福	干杯祝福
乾草市场	干草市场
乾草种子	干草种子
乾柴烈火	干柴烈火
乾脆	干脆
乾脆地	干脆地
乾脆利落	干脆利落
乾脆利索	干脆利索
乾旱	干旱
乾旱地区	干旱地区
乾净	干净
乾净利落	干净利落
乾净利索	干净利索
乾净俐落	干净利落
乾酪样变	干酪样变
乾毛巾布	干毛巾布
乾抹布	干抹布
乾啼湿哭	干啼湿哭
乾性眼炎	干性眼炎
乾椰子肉	干椰子肉
乾燥	干燥
乾燥病的	干燥病的
乾燥机	干燥机
乾燥剂	干燥剂
乾燥状态	干燥状态
箝口侧目	钳口侧目
箝口结舌	钳口结舌
箝形攻势	钳形攻势
箝制	钳制
潜茂	潜藏
潜然	潸然
潜然泪下	潸然泪下
潜在地	潜在的
蕁麻疹	荨麻疹
浅嚐辄止	浅尝辄止
遣辞	遣词
遣辞措意	遣词措意
遣将徵兵	遣将征兵
遣责	谴责
欠收	歉收
欠收自补	歉收自补
欠帐	欠账
歉虚	谦虚
枪烟砲雨	枪烟炮雨
枪枝	枪支
枪枝弹药	枪支弹药
蹡踉	跄踉
蹡蹡	跄跄
强差人意	差强人意
强脣劣嘴	强唇劣嘴
强幹弱枝	强干弱枝
强硷	强碱
强驽之末	强弩之末
强努之末	强弩之末
强忍更咽	强忍哽咽
强徵队员	强征队员
强嘴拗舌	犟嘴拗舌
强嘴硬牙	犟嘴硬牙
强做欢颜	强作欢颜
强做解人	强作解人
跷足而待	翘足而待
敲锣放砲	敲锣放炮
敲山振虎	敲山震虎
敲榨	敲诈
敲榨勒索	敲诈勒索
敲竹槓	敲竹杠
乔治华盛顿	乔治·华盛顿
乔治史考特	乔治·史考特
乔妆打扮	乔装打扮
侨装	乔装
侨装打扮	乔装打扮
桥归桥路归路	桥归桥，路归路
桥粱	桥梁
憔灼	焦灼
顦顇	憔悴
巧夺天公	巧夺天工
巧言另色	巧言令色
巧装	乔装
巧装打扮	乔装打扮
翘趣	翘楚
切成两分	切成两份
切切私语	窃窃私语
切中恳綮	切中肯綮
切中世弊	切中时弊
茄克	夹克
怯生怯气	怯声怯气
窃钩者诛窃国者侯	窃钩者诛，窃国者侯
窃窃偶语	窃窃私语
窃锺掩耳	窃钟掩耳
亲睐	青睐
亲威	亲戚
亲兄弟明算帐	亲兄弟明算账
琴断硃弦	琴断朱弦
勤有功嬉无益	勤有功，嬉无益
螓首蛾眉	螓首娥眉
寝关曝纊	寝关曝纩
寝苫枕塊	寝苫枕块
寝苫枕	寝苫枕块
青出于兰而胜于蓝	青出于蓝而胜于蓝
青出于蓝，而胜于蓝	青出于蓝而胜于蓝
青出于蓝而胜于兰	青出于蓝而胜于蓝
青出於蓝	青出于蓝
青丰县	清丰县
青红皁白	青红皂白
青康藏高	青康藏高原
青茂	青藏
青茂高原	青藏高原
青山遮不住毕竟东流去	青山遮不住，毕竟东流去
青天霹雳	晴天霹雳
青烟燎绕	青烟缭绕
青㭎	青冈
氢原素	氢元素
轻脆悦耳	清脆悦耳
轻而一举	轻而易举
轻风徐来	清风徐来
轻歌曼午	轻歌曼舞
轻歌慢舞	轻歌曼舞
轻歌漫舞	轻歌曼舞
轻描谈写	轻描淡写
轻气球	氢气球
轻身徇义	轻身殉义
轻飏	轻扬
轻颺	轻扬
轻傜薄赋	轻徭薄赋
轻一	轻易
轻於鸿毛	轻于鸿毛
倾城顷国	倾城倾国
倾复	倾覆
倾刻	顷刻
倾刻间	顷刻间
倾刻之间	顷刻之间
倾盆人雨	倾盆大雨
清查帐目	清查账目
清彻	清澈
清彻见底	清澈见底
清歌妙舞	轻歌妙舞
清过来	请过来
清过去	请过去
清浑皁白	清浑皂白
清净无为	清静无为
清亮透彻	清亮透澈
清算帐目	清算账目
清香肆溢	清香四溢
清议不容	清仪不容
清帐	清账
情不自己	情不自已
情不自尽	情不自禁
情非得以	情非得已
情份	情分
情见於色	情见于色
情素	情愫
情无旁鹜	情无旁骛
情绪松驰	情绪松弛
情义深重	情意深重
情有可愿	情有可原
顷城顷国	倾城倾国
顷国顷城	倾国倾城
顷家荡产	倾家荡产
顷盆大雨	倾盆大雨
请君人瓮	请君入瓮
请君入甕	请君入瓮
请稍侯	请稍候
请先入甕	请先入瓮
庆父不死鲁难未已	庆父不死，鲁难未已
磬笔难书	罄笔难书
磬竹难书	罄竹难书
穷而後工	穷而后工
穷兒暴富	穷儿暴富
穷鼠齧貍	穷鼠啮狸
穷形尽像	穷形尽相
穷源竟委	穷原竟委
穷源意委	穷源竟委
穹窿	穹隆
茕茕孑立形影相吊	茕茕孑立，形影相吊
煢煢孑立，形影相吊	茕茕孑立，形影相吊
煢煢孑立形影相吊	茕茕孑立，形影相吊
邱吉尔	丘吉尔
秋虫瞅鸣	秋虫啾鸣
秋后算帐	秋后算账
秋後算账	秋后算账
秋收万颗子	秋收万颗籽
鞦韆	秋千
求生不得求死不能	求生不得，求死不能
球蘑机	球磨机
曲高合寡	曲高和寡
曲意承奉	曲意奉承
曲指可数	屈指可数
屈伏	屈服
屈穀巨瓠	屈谷巨瓠
屈意逢迎	曲意逢迎
袪除	祛除
蛐蟮	曲蟮
趋炎趕热	趋炎赶热
趋之若骛	趋之若鹜
趋之偌鹜	趋之若鹜
蠼螋	蠷螋
鸜鹆	鸲鹆
取保侯审	取保候审
取精用宏	取精用弘
取销	取消
取之不尽用之不竭	取之不尽，用之不竭
全幅武装	全副武装
全国纪录	全国记录
全家迁徒	全家迁徙
全日震幅	全日振幅
全神关注	全神贯注
全神惯注	全神贯注
全天侯	全天候
权横轻重	权衡轻重
权势叶位	权势易位
泉石膏盲	泉石膏肓
泉水丁冬	泉水丁东
泉水叮咚	泉水丁东
拳不离手曲不离口	拳不离手，曲不离口
拳头上立得人胳膊上走得马	拳头上立得人，胳膊上走得马
惓惓	拳拳
惓惓之意	拳拳之意
鬈曲	卷曲
犭忽犭聿	忽律
犬牙盘石	犬牙磐石
劝戒	劝诫
缺之不恭	却之不恭
卻病延年	却病延年
卻金暮夜	却金暮夜
卻老还童	却老还童
卻行求前	却行求前
卻之不恭	却之不恭
雀瘢	雀斑
雀然无声	悄然无声
鹊巢鸠佔	鹊巢鸠占
群芳争妍	群芳争艳
群魔乱午	群魔乱舞
群轻折抽	群轻折轴
群情欢洽谈	群情欢洽
群情激愤	群情激奋
群山迭翠	群山叠翠
群星璀灿	群星璀璨
群蚁附羶	群蚁附膻
染风習俗	染风习俗
染蓝涅皁	染蓝涅皂
饶勇	骁勇
饶勇善战	骁勇善战
惹事生非	惹是生非
热呼	热乎
热呼呼	热乎乎
热火潮天	热火朝天
热坑	热炕
热坑凉床	热炕凉床
热坑头	热炕头
热坑头　	热炕头
热剌剌	热辣辣
热涨冷缩	热胀冷缩
热中	热衷
热中者	热衷者
热衷子	热中子
人比人气死人	人比人，气死人
人不犯我我不犯人	人不犯我，我不犯人
人不敷出	入不敷出
人才倍出	人才辈出
人才汇萃	人才荟萃
人材	人才
人材出众	人才出众
人材济济	人才济济
人材外流	人才外流
人参鹿葺	人参鹿茸
人刀阔斧	大刀阔斧
人而无信	言而无信
人而无信不知其可	人而无信，不知其可
人非圣贤孰能无过	人非圣贤，孰能无过
人风人浪	大风大浪
人浮于食	人浮于事
人浮于世	人浮于事
人浮於事	人浮于事
人面挑花	人面桃花
人民当家作主	人民当家做主
人千世界	大千世界
人情事故	人情世故
人穷智短	人穷志短
人人有则	人人有责
人仁人义	大仁大义
人生自古谁无死留取丹心照汗青	人生自古谁无死，留取丹心照汗青
人手人脚	大手大脚
人同此心心同此理	人同此心，心同此理
人头帐	人头账
人为财死鸟为食亡	人为财死，鸟为食亡
人为刀俎我为鱼肉	人为刀俎，我为鱼肉
人无远虑必有近忧	人无远虑，必有近忧
人象	人像
人心皇皇	人心惶惶
人心遑遑	人心惶惶
人心齐泰山移	人心齐，泰山移
人言利博	仁言利博
人言责责	人言啧啧
人义火亲	大义灭亲
人有敷出	入有敷出
人在屋檐下不得不低头	在人屋檐下，不得不低头
人之长情	人之常情
人之将死其言也善	人之将死，其言也善
亻匡儴	劻勷
仁义礼智信	仁义礼知信
仁者见仁智者见智	仁者见仁，智者见智
忍劳忍怨	任劳任怨
忍气吞卢	忍气吞声
忍贼作父	认贼作父
认贼做父	认贼作父
认帐	认账
任何时侯	任何时候
任人为贤	任人唯贤
任消遥	任逍遥
任意飘泊	任意漂泊
日成	日程
日尔曼	日耳曼
日光朦胧	日光曚昽
日规	日晷
日规仪	日晷仪
日环蚀	日环食
日计不足岁计有余	日计不足，岁计有余
日记薄	日记簿
日记帐	日记账
日偏蚀	日偏食
日全蚀	日全食
日儒月染	日濡月染
日色朦胧	日色曚昽
日升月恆	日升月恒
日蚀	日食
日月合壁	日月合璧
日月经天江河行地	日月经天，江河行地
戎骄戎躁	戒骄戒躁
戎马倥傯	戎马倥偬
容光涣发	容光焕发
容膝之安一肉之味	容膝之安，一肉之味
溶贯	融贯
溶会	融会
溶会贯通	融会贯通
溶通	融通
融汇贯通	融会贯通
融汇惯通	融会贯通
融解度	溶解度
融解度低	溶解度低
融恰	融洽
融岩	熔岩
鎔解热	熔解热
柔肠才断	柔肠寸断
柔以制钢	柔以制刚
柔中带钢	柔中带刚
揉杂	糅杂
糅和	柔和
如此以致于	如此以至于
如法泡制	如法炮制
如法砲制	如法炮制
如梗在喉	如鲠在喉
如虎添冀	如虎添翼
如火如茶	如火如荼
如雷灌耳	如雷贯耳
如临人敌	如临大敌
如毛饮血	茹毛饮血
如人饮水冷暖自知	如人饮水，冷暖自知
如日中大	如日中天
如实交待	如实交代
如闻其声如见其人	如闻其声，如见其人
如原以偿	如愿以偿
如缘大笔	如椽大笔
如愿以尝	如愿以偿
如坠五里	如坠雾里
儒子	孺子
儒子可教	孺子可教
孺子可数	孺子可教
乳臭未乾	乳臭未干
入不付出	入不敷出
入场卷	入场券
入场卷　	入场券
入场权	入场券
入出境管理局	出入境管理局
入谜	入迷
入室昇堂	入室升堂
入学考	入学考试
入帐	入账
入坐	入座
蓐疮	褥疮
软臣	软卧
软颚	软腭
软红香土	软红香玉
锐不可挡	锐不可当
润年	闰年
若不胜衣	弱不胜衣
若覆平地	若履平地
若昧平生	素昧平生
若想人不知，除非已莫为	若想人不知，除非己莫为
若要人不知，除非已莫为	若要人不知，除非己莫为
若要人不知除非己莫为	若要人不知，除非己莫为
若要人不知除非已莫为	若要人不知，除非己莫为
偌即偌离	若即若离
偌无其事	若无其事
偌有所思	若有所思
弱不经风	弱不禁风
弱水三千只取一瓢	弱水三千，只取一瓢
婼羌	若羌
撒酒风	撒酒疯
撒销	撤销
撒销处分	撤销处分
撒鸭子	撒丫子
撒呓症	撒呓挣
撒营	撤营
撒职	撤职
洒涡	酒窝
萨克司风	萨克斯风
萨克逊人	撒克逊人
萨齐玛	萨其马
萨琪玛	萨其马
塞耳盗锺	塞耳盗钟
塞内加	塞内加尔
塞普路斯	塞浦路斯
塞翁夫马	塞翁失马
塞翁失马焉知非福	塞翁失马，焉知非福
塞翁失马焉知祸福	塞翁失马，焉知祸福
三百甕齑	三百瓮齑
三叉口	三岔口
三朝远老	三朝元老
三寸鸟七寸嘴	三寸鸟，七寸嘴
三迭阳关	三叠阳关
三番四复	三翻四覆
三翻两次	三番两次
三个臭皮匠赛过诸葛亮	三个臭皮匠，赛过诸葛亮
三顾茅芦	三顾茅庐
三级管	三极管
三角架	三脚架
三角三角洲	三角洲
三教几流	三教九流
三军可夺师也，匹夫不可夺志也	三军可夺帅，匹夫不可夺志也
三令五伸	三令五申
三年不窥圆	三年不窥园
三日打鱼两日晒网	三日打鱼，两日晒网
三十六策走为上策	三十六策，走为上策
三十六计走为上计	三十六计，走为上计
三十年河东三十年河西	三十年河东，三十年河西
三天打鱼两天晒网	三天打鱼，两天晒网
三窝两塊	三窝两块
三釁三浴	三衅三浴
三薰三沐	三熏三沐
三折肱为良医	三折肱，为良医
散慢	散漫
散逸	散佚
桑户棬枢	桑户桊枢
桑椹	桑葚
桑椹儿	桑葚儿
桑枢甕牖	桑枢瓮牖
桑廕不徙	桑荫不徙
桑廕未移	桑荫未移
嗓音暗哑	嗓音喑哑
搔痒病	瘙痒病
扫地无馀	扫地无余
扫黄打丑	扫黄打非
扫瞄器	扫描器
色采	色彩
色采斑斓	色彩斑斓
色采缤纷	色彩缤纷
色厉内茬	色厉内荏
瑟瑟发料	瑟瑟发抖
杀戳	杀戮
杀费苦心	煞费苦心
杀风景	煞风景
杀时间	霎时间
杀尾	煞尾
杀一警百	杀一儆百
杀一敬百	杀一儆百
沙窗	纱窗
沙锅	砂锅
沙锅浅	砂锅浅
沙壶	砂壶
沙浆	砂浆
沙劳越	沙捞越
沙里掏金	沙里淘金
沙轮机	砂轮机
沙糖	砂糖
沙鱼	鲨鱼
沙憎	沙僧
刹时	霎时
刹时间	霎时间
砂地	沙地
砂块儿	沙块儿
砂箱	沙箱
傻呼呼	傻乎乎
傻冒儿	傻帽儿
啥时侯	啥时候
煞车	刹车
煞车灯	刹车灯
筛撒	筛沙
山查	山楂
山慈菇	山慈姑
山颠	山巅
山洪爆发	山洪暴发
山砠水厓	山砠水崖
山栖谷隐	山栖谷饮
山青水秀	山清水秀
山穷水尽无疑路	山穷水尽疑无路
山穷水尽疑无路，柳暗花明又一村	山重水复疑无路，柳暗花明又一村
山殽野湋	山淆野湋
山餚海错	山肴海错
山阴道上应接不暇	山阴道上，应接不暇
山之险峻，宁有逾此？	山之险峻，宁有逾此
山中无好汉，猢猻称霸王	山中无好汉，猢狲称霸王
山重水复疑无路柳暗花明又一村	山重水复疑无路，柳暗花明又一村
删秋	芟秋
芟荑	芟夷
衫林溪	杉林溪
珊蝴	珊瑚
珊蝴虫	珊瑚虫
珊蝴礁	珊瑚礁
珊珊来迟	姗姗来迟
跚跚来迟	姗姗来迟
搧风点火	煽风点火
闪烁其辞	闪烁其词
闪铄	闪烁
闪着光采	闪着光彩
扇风点火	煽风点火
善罢干休	善罢甘休
善恶不变	善恶不辨
善价而估	善贾而沽
善于词令	善于辞令
擅解人衣	善解人意
赡仰	瞻仰
商雒	商洛
商品质	商品质量
商确	商榷
商业中心地	商业中心地段
上不着天下不着地	上不着天，下不着地
上簇	上蔟
上窜下跳	上蹿下跳
上方宝剑	尚方宝剑
上方不足下比有余	上方不足，下比有余
上攻受阴	上攻受阻
上颔骨	上颌骨
上交利润	上缴利润
上流社会地	上流社会地位
上天无路入地无门	上天无路，入地无门
上无片瓦下无插针之地	上无片瓦，下无插针之地
上无片瓦下无立锥之地	上无片瓦，下无立锥之地
上帐	上账
尚待商确	尚待商榷
绱鞋	上鞋
梢公	艄公
稍安毋燥	少安毋躁
稍安毋躁	少安毋躁
稍安勿燥	少安毋躁
稍安勿躁	少安毋躁
稍侯	稍候
稍事担搁	稍事耽搁
少安毋燥	少安毋躁
少安勿躁	少安毋躁
少年老诚	少年老成
少少无拘	少小无拘
少壮不努力老大徒伤悲	少壮不努力，老大徒伤悲
少纵即逝	稍纵即逝
奢糜	奢靡
奢糜沉醉	奢靡沉醉
赊帐	赊账
舌敝脣焦	舌敝唇焦
舌敝脣枯	舌敝唇枯
舌剑脣枪	舌剑唇枪
舌剑脣鎗	舌剑唇枪
舌桥不下	舌挢不下
蛇化为龙不变其文	蛇化为龙，不变其文
舍得一身剐敢把皇帝拉下马	舍得一身剐，敢把皇帝拉下马
舍身取义	舍生取义
舍生为国	舍身为国
舍已为公	舍己为公
设陷井	设陷阱
社会各届	社会各界
社会午台	社会舞台
社威擅势	摄威擅势
摄相机	摄像机
摄象	摄像
摄象机	摄像机
申敕	申饬
申酉戍亥	申酉戌亥
申张	伸张
申张正义	伸张正义
伸雪	申雪
伸冤	申冤
伸冤理枉	申冤理枉
身分	身份
身分证	身份证
身分证字号	身份证字号
身教胜天言教	身教胜于言教
身坯高大	身材高大
身驱	身躯
身受其害	深受其害
身体嬴弱	身体羸弱
身体赢弱	身体羸弱
身在江湖心存魏阙	身在江湖，心存魏阙
身在江湖心悬魏阙	身在江湖，心悬魏阙
深雠大恨	深仇大恨
深兰	深蓝
深兰色	深蓝色
深情厚意	深情厚谊
深入时机	深入实际
深沈	深沉
深遂	深邃
深为婉惜	深为惋惜
深文傅会	深文附会
深信不移	深信不疑
深醒	深省
神不收舍	神不守舍
神彩	神采
神甫	神父
神譁鬼叫	神哗鬼叫
神魂荡飏	神魂荡漾
神魂撩乱	神魂缭乱
神閒气定	神闲气定
神经原	神经元
神密	神秘
神手	身手
神象	神像
神知不清	神志不清
沈佃佃	沉甸甸
沈甸甸	沉甸甸
沈烽静柝	沉烽静柝
沈静寡言	沉静寡言
沈李浮瓜	沉李浮瓜
沈没	沉没
沈闷	沉闷
沈密寡言	沉密寡言
沈默寡言	沉默寡言
沈谋研虑	沉谋研虑
沈谋重虑	沉谋重虑
沈声静气	沉声静气
沈思	沉思
沈思默想	沉思默想
沈思熟虑	沉思熟虑
沈心静气	沉心静气
沈吟不决	沉吟不决
沈吟未决	沉吟未决
沈鱼落雁	沉鱼落雁
沈郁顿挫	沉郁顿挫
沈重	沉重
沈舟破釜	沉舟破釜
沈著地	沉着的
沈著痛快	沉着痛快
沈着痛快	沉着痛快
审判厅	审判庭
审时变势	审时度势
渖阳市	沈阳市
瀋阳	沈阳
肾功能能不全	肾功能不全
甚获好评	深获好评
甚么	什么
甚至污蔑	甚至诬蔑
渗澹	惨淡
慎密	缜密
慎谋远虑	深谋远虑
慎重追远	慎终追远
生辟	生僻
生活拮倨	生活拮据
生机昂然	生机盎然
生命不息报春不止	生命不息，报春不止
生命倏关	生命攸关
生色俱厉	声色俱厉
生杀于夺	生杀予夺
生死决别	生死诀别
生死有命富贵在天	生死有命，富贵在天
生死至交	生死之交
生造硬作	生造硬做
声名狼籍	声名狼藉
声名雀起	声名鹊起
声色皆厉	声色俱厉
声威大振	声威大震
声闻暇迩	声闻遐迩
声象	声像
声音宏亮	声音洪亮
声誉卓着	声誉卓著
声振九霄	声震九霄
鼪鼬之迳	鼪鼬之径
绳枢甕牖	绳枢瓮牖
绳先启後	绳先启后
省分	省份
省悟	醒悟
省自治区直辖市	各省市自治区
圣诞叶	圣诞夜
圣地牙哥	圣地亚哥
圣弗兰西	圣弗兰西斯科
圣母玛利亚	圣母马利亚
盛名之下其实难副	盛名之下，其实难副
盛宴难再	盛筵难再
剩馀	剩余
賸菜残羹	剩菜残羹
賸水残山	剩水残山
尸居馀气	尸居余气
尸禄素飡	尸禄素餐
失卷	释卷
失口抵赖	矢口抵赖
失厉	失利
失去光采	失去光彩
失声痛苦	失声痛哭
失之东隅收之桑榆	失之东隅，收之桑榆
失之毫厘谬以千里	失之毫厘，谬以千里
失之毫厘谬之千里	失之毫厘，谬之千里
失之毫釐，差以千里	失之毫厘，差以千里
失之毫釐，差之千里	失之毫厘，差之千里
失之毫釐，谬以千里	失之毫厘，谬以千里
失志不渝	矢志不渝
师老兵破	师老兵疲
诗情大发	诗兴大发
诗书发塚	诗书发冢
施不忘报	施不望报
施衿结褵	施衿结缡
施设	施舍
湿呼呼	湿乎乎
湿渌渌	湿漉漉
溼度计	湿度计
溼度器	湿度器
溼淋淋的	湿淋淋的
溼漉漉的	湿漉漉的
十不闲儿	什不闲儿
十二点正	十二点整
十分光采	十分光彩
十分松驰	十分松弛
十锦	什锦
十进值	十进制
十目所视十手所指	十目所视，十手所指
十拏九稳	十拿九稳
十年生聚十年教训	十年生聚，十年教训
十年树木百年树人	十年树木，百年树人
十日一水五日一石	十日一水，五日一石
十三点正	十三点整
什么时侯	什么时候
什麽	什么
什至	甚至
石膏象	石膏像
石绵	石棉
石绵板	石棉板
石绵瓦	石棉瓦
石沈大海	石沉大海
石碳层	石炭层
石锺乳	石钟乳
石砫	石柱
时不我予	时不我与
时侯	时候
时行	时兴
实报实实测	实报实测
实偪处此	实逼处此
